Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
Spain,Female,30-45,Medium,Low Balance,New Customer,1,1,83807.86,112542.58,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Long-term Customer,3,0,159660.8,113931.57,High Salary,High Risk,159660.8,1
Spain,Female,30-45,High,High Balance,New Customer,1,1,125510.82,79084.1,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,2,0,113755.78,149756.71,High Salary,High Risk,113755.78,1
Germany,Female,Under 30,Low,High Balance,Mid-term Customer,4,0,115046.74,119346.88,High Salary,High Risk,115046.74,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,142051.07,74940.5,Medium Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,1,134603.88,71725.73,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,102016.72,80181.12,Medium Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,143129.41,64327.26,Medium Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,New Customer,1,0,132602.88,5097.67,Low Salary,High Risk,132602.88,1
Germany,Male,30-45,High,High Balance,New Customer,1,1,136815.64,170041.95,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,1,141349.43,100187.43,High Salary,Normal,0,0
France,Male,Under 30,Low,Low Balance,New Customer,2,1,59697.17,53483.21,Medium Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,85311.7,156731.91,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,110112.54,81898.81,Medium Salary,High Risk,0,0
France,Female,30-45,Low,High Balance,New Customer,1,0,134264.04,27822.99,Low Salary,High Risk,134264.04,1
Spain,Male,30-45,Low,High Balance,New Customer,1,1,145260.23,114066.77,High Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,Mid-term Customer,1,1,76548.6,98453.45,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,Mid-term Customer,2,1,70349.48,178074.04,High Salary,Normal,0,0
France,Female,46-60,Low,High Balance,Long-term Customer,1,0,122522.32,181297.65,High Salary,High Risk,122522.32,1
France,Female,60+,Medium,High Balance,New Customer,1,1,117419.35,94153.83,Medium Salary,Normal,0,0
France,Female,46-60,High,High Balance,New Customer,1,0,131394.56,194365.76,High Salary,High Risk,131394.56,1
Spain,Female,60+,Medium,High Balance,Mid-term Customer,1,1,155931.11,158338.39,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Mid-term Customer,2,1,109421.13,126517.46,High Salary,Normal,0,0
Germany,Female,Under 30,High,High Balance,Long-term Customer,1,1,112045.67,119708.21,High Salary,Normal,112045.67,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,137843.8,117622.8,High Salary,Normal,137843.8,1
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,103391.38,90878.13,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,2,0,103769.22,194099.12,High Salary,High Risk,0,0
